,name,review_count,rating,price,cat1,zip_code,nyc,borough,cluster,is_affluent
14923,Manhattan Proper,336,4.0,2,sportsbars,10007,True,Manhattan,0,1
14924,Woodrow's,328,4.0,2,tradamerican,10007,True,Manhattan,0,1
14925,Hop Shing Restaurant,530,3.5,1,dimsum,10038,True,Manhattan,48,1
14926,Asian Spicy Curry Pop-up,141,4.5,1,asianfusion,10013,True,Manhattan,77,1
14928,Matchaful,60,4.5,2,coffee,10013,True,Manhattan,77,1
14929,Il Mattone,81,4.5,1,italian,10013,True,Manhattan,77,1
14930,Westside Coffee Shop,78,4.0,1,coffee,10013,True,Manhattan,77,1
14931,Tasty Dumpling,497,3.5,1,chinese,10013,True,Manhattan,77,1
14932,Takahachi Tribeca Restaurant,229,3.5,3,sushi,10013,True,Manhattan,77,1
14933,Shigure,113,4.0,2,japanese,10013,True,Manhattan,77,1
14935,GunBae,277,4.0,2,korean,10007,True,Manhattan,0,1
14936,Peking Duck House,845,3.5,3,chinese,10013,True,Manhattan,77,1
14937,Thai Jasmine Resturant,389,3.5,2,thai,10013,True,Manhattan,77,1
14938,Vegetarian Dim Sum House,547,3.5,1,dimsum,10013,True,Manhattan,77,1
14939,Petrarca Cucina E Vino,164,3.5,3,italian,10013,True,Manhattan,77,1
14940,456 New Shanghai,546,3.5,2,shanghainese,10013,True,Manhattan,77,1
14941,Kaffe 1668,198,3.5,2,coffee,10013,True,Manhattan,77,1
14942,PhoBar,223,4.0,2,vietnamese,10013,True,Manhattan,77,1
